Item name,ingredients,instructions
Spaghetti Bolognese 1,"spaghetti, ground beef, tomato sauce, onion, garlic",Cook all ingredients together until well done.
Chicken Curry 1,"chicken, curry powder, coconut milk, onion, ginger",Mix ingredients and simmer for 30 minutes.
Beef Tacos 1,"ground beef, taco shells, lettuce, cheddar, salsa","Grill meat, then assemble with veggies and sauce."
Veggie Stir Fry 1,"broccoli, carrot, bell pepper, soy sauce, tofu",Stir fry all veggies and tofu in soy sauce.
Pancakes 1,"flour, milk, egg, sugar, baking powder",Mix batter and cook on a hot griddle.
Tomato Soup 1,"tomatoes, onion, garlic, vegetable broth, basil",Boil tomatoes and blend with other ingredients.
Grilled Cheese 1,"bread, cheddar, butter",Grill sandwich until cheese melts.
Caesar Salad 1,"romaine lettuce, parmesan, croutons, caesar dressing",Toss all salad components with dressing.
Fried Rice 1,"rice, egg, peas, carrot, soy sauce",Stir fry rice with vegetables and soy sauce.
Lentil Stew 1,"lentils, carrot, celery, onion, vegetable broth",Boil lentils with vegetables until tender.
Spaghetti Bolognese 2,"spaghetti, ground beef, tomato sauce, onion, garlic",Cook all ingredients together until well done.
Chicken Curry 2,"chicken, curry powder, coconut milk, onion, ginger",Mix ingredients and simmer for 30 minutes.
Beef Tacos 2,"ground beef, taco shells, lettuce, cheddar, salsa","Grill meat, then assemble with veggies and sauce."
Veggie Stir Fry 2,"broccoli, carrot, bell pepper, soy sauce, tofu",Stir fry all veggies and tofu in soy sauce.
Pancakes 2,"flour, milk, egg, sugar, baking powder",Mix batter and cook on a hot griddle.
Tomato Soup 2,"tomatoes, onion, garlic, vegetable broth, basil",Boil tomatoes and blend with other ingredients.
Grilled Cheese 2,"bread, cheddar, butter",Grill sandwich until cheese melts.
Caesar Salad 2,"romaine lettuce, parmesan, croutons, caesar dressing",Toss all salad components with dressing.
Fried Rice 2,"rice, egg, peas, carrot, soy sauce",Stir fry rice with vegetables and soy sauce.
Lentil Stew 2,"lentils, carrot, celery, onion, vegetable broth",Boil lentils with vegetables until tender.
Spaghetti Bolognese 3,"spaghetti, ground beef, tomato sauce, onion, garlic",Cook all ingredients together until well done.
Chicken Curry 3,"chicken, curry powder, coconut milk, onion, ginger",Mix ingredients and simmer for 30 minutes.
Beef Tacos 3,"ground beef, taco shells, lettuce, cheddar, salsa","Grill meat, then assemble with veggies and sauce."
Veggie Stir Fry 3,"broccoli, carrot, bell pepper, soy sauce, tofu",Stir fry all veggies and tofu in soy sauce.
Pancakes 3,"flour, milk, egg, sugar, baking powder",Mix batter and cook on a hot griddle.
Tomato Soup 3,"tomatoes, onion, garlic, vegetable broth, basil",Boil tomatoes and blend with other ingredients.
Grilled Cheese 3,"bread, cheddar, butter",Grill sandwich until cheese melts.
Caesar Salad 3,"romaine lettuce, parmesan, croutons, caesar dressing",Toss all salad components with dressing.
Fried Rice 3,"rice, egg, peas, carrot, soy sauce",Stir fry rice with vegetables and soy sauce.
Lentil Stew 3,"lentils, carrot, celery, onion, vegetable broth",Boil lentils with vegetables until tender.
Spaghetti Bolognese 4,"spaghetti, ground beef, tomato sauce, onion, garlic",Cook all ingredients together until well done.
Chicken Curry 4,"chicken, curry powder, coconut milk, onion, ginger",Mix ingredients and simmer for 30 minutes.
Beef Tacos 4,"ground beef, taco shells, lettuce, cheddar, salsa","Grill meat, then assemble with veggies and sauce."
Veggie Stir Fry 4,"broccoli, carrot, bell pepper, soy sauce, tofu",Stir fry all veggies and tofu in soy sauce.
Pancakes 4,"flour, milk, egg, sugar, baking powder",Mix batter and cook on a hot griddle.
Tomato Soup 4,"tomatoes, onion, garlic, vegetable broth, basil",Boil tomatoes and blend with other ingredients.
Grilled Cheese 4,"bread, cheddar, butter",Grill sandwich until cheese melts.
Caesar Salad 4,"romaine lettuce, parmesan, croutons, caesar dressing",Toss all salad components with dressing.
Fried Rice 4,"rice, egg, peas, carrot, soy sauce",Stir fry rice with vegetables and soy sauce.
Lentil Stew 4,"lentils, carrot, celery, onion, vegetable broth",Boil lentils with vegetables until tender.
Spaghetti Bolognese 5,"spaghetti, ground beef, tomato sauce, onion, garlic",Cook all ingredients together until well done.
Chicken Curry 5,"chicken, curry powder, coconut milk, onion, ginger",Mix ingredients and simmer for 30 minutes.
Beef Tacos 5,"ground beef, taco shells, lettuce, cheddar, salsa","Grill meat, then assemble with veggies and sauce."
Veggie Stir Fry 5,"broccoli, carrot, bell pepper, soy sauce, tofu",Stir fry all veggies and tofu in soy sauce.
Pancakes 5,"flour, milk, egg, sugar, baking powder",Mix batter and cook on a hot griddle.
Tomato Soup 5,"tomatoes, onion, garlic, vegetable broth, basil",Boil tomatoes and blend with other ingredients.
Grilled Cheese 5,"bread, cheddar, butter",Grill sandwich until cheese melts.
Caesar Salad 5,"romaine lettuce, parmesan, croutons, caesar dressing",Toss all salad components with dressing.
Fried Rice 5,"rice, egg, peas, carrot, soy sauce",Stir fry rice with vegetables and soy sauce.
Lentil Stew 5,"lentils, carrot, celery, onion, vegetable broth",Boil lentils with vegetables until tender.
Spaghetti Bolognese 6,"spaghetti, ground beef, tomato sauce, onion, garlic",Cook all ingredients together until well done.
Chicken Curry 6,"chicken, curry powder, coconut milk, onion, ginger",Mix ingredients and simmer for 30 minutes.
Beef Tacos 6,"ground beef, taco shells, lettuce, cheddar, salsa","Grill meat, then assemble with veggies and sauce."
Veggie Stir Fry 6,"broccoli, carrot, bell pepper, soy sauce, tofu",Stir fry all veggies and tofu in soy sauce.
Pancakes 6,"flour, milk, egg, sugar, baking powder",Mix batter and cook on a hot griddle.
Tomato Soup 6,"tomatoes, onion, garlic, vegetable broth, basil",Boil tomatoes and blend with other ingredients.
Grilled Cheese 6,"bread, cheddar, butter",Grill sandwich until cheese melts.
Caesar Salad 6,"romaine lettuce, parmesan, croutons, caesar dressing",Toss all salad components with dressing.
Fried Rice 6,"rice, egg, peas, carrot, soy sauce",Stir fry rice with vegetables and soy sauce.
Lentil Stew 6,"lentils, carrot, celery, onion, vegetable broth",Boil lentils with vegetables until tender.
Spaghetti Bolognese 7,"spaghetti, ground beef, tomato sauce, onion, garlic",Cook all ingredients together until well done.
Chicken Curry 7,"chicken, curry powder, coconut milk, onion, ginger",Mix ingredients and simmer for 30 minutes.
Beef Tacos 7,"ground beef, taco shells, lettuce, cheddar, salsa","Grill meat, then assemble with veggies and sauce."
Veggie Stir Fry 7,"broccoli, carrot, bell pepper, soy sauce, tofu",Stir fry all veggies and tofu in soy sauce.
Pancakes 7,"flour, milk, egg, sugar, baking powder",Mix batter and cook on a hot griddle.
Tomato Soup 7,"tomatoes, onion, garlic, vegetable broth, basil",Boil tomatoes and blend with other ingredients.
Grilled Cheese 7,"bread, cheddar, butter",Grill sandwich until cheese melts.
Caesar Salad 7,"romaine lettuce, parmesan, croutons, caesar dressing",Toss all salad components with dressing.
Fried Rice 7,"rice, egg, peas, carrot, soy sauce",Stir fry rice with vegetables and soy sauce.
Lentil Stew 7,"lentils, carrot, celery, onion, vegetable broth",Boil lentils with vegetables until tender.
Spaghetti Bolognese 8,"spaghetti, ground beef, tomato sauce, onion, garlic",Cook all ingredients together until well done.
Chicken Curry 8,"chicken, curry powder, coconut milk, onion, ginger",Mix ingredients and simmer for 30 minutes.
Beef Tacos 8,"ground beef, taco shells, lettuce, cheddar, salsa","Grill meat, then assemble with veggies and sauce."
Veggie Stir Fry 8,"broccoli, carrot, bell pepper, soy sauce, tofu",Stir fry all veggies and tofu in soy sauce.
Pancakes 8,"flour, milk, egg, sugar, baking powder",Mix batter and cook on a hot griddle.
Tomato Soup 8,"tomatoes, onion, garlic, vegetable broth, basil",Boil tomatoes and blend with other ingredients.
Grilled Cheese 8,"bread, cheddar, butter",Grill sandwich until cheese melts.
Caesar Salad 8,"romaine lettuce, parmesan, croutons, caesar dressing",Toss all salad components with dressing.
Fried Rice 8,"rice, egg, peas, carrot, soy sauce",Stir fry rice with vegetables and soy sauce.
Lentil Stew 8,"lentils, carrot, celery, onion, vegetable broth",Boil lentils with vegetables until tender.
Spaghetti Bolognese 9,"spaghetti, ground beef, tomato sauce, onion, garlic",Cook all ingredients together until well done.
Chicken Curry 9,"chicken, curry powder, coconut milk, onion, ginger",Mix ingredients and simmer for 30 minutes.
Beef Tacos 9,"ground beef, taco shells, lettuce, cheddar, salsa","Grill meat, then assemble with veggies and sauce."
Veggie Stir Fry 9,"broccoli, carrot, bell pepper, soy sauce, tofu",Stir fry all veggies and tofu in soy sauce.
Pancakes 9,"flour, milk, egg, sugar, baking powder",Mix batter and cook on a hot griddle.
Tomato Soup 9,"tomatoes, onion, garlic, vegetable broth, basil",Boil tomatoes and blend with other ingredients.
Grilled Cheese 9,"bread, cheddar, butter",Grill sandwich until cheese melts.
Caesar Salad 9,"romaine lettuce, parmesan, croutons, caesar dressing",Toss all salad components with dressing.
Fried Rice 9,"rice, egg, peas, carrot, soy sauce",Stir fry rice with vegetables and soy sauce.
Lentil Stew 9,"lentils, carrot, celery, onion, vegetable broth",Boil lentils with vegetables until tender.
Spaghetti Bolognese 10,"spaghetti, ground beef, tomato sauce, onion, garlic",Cook all ingredients together until well done.
Chicken Curry 10,"chicken, curry powder, coconut milk, onion, ginger",Mix ingredients and simmer for 30 minutes.
Beef Tacos 10,"ground beef, taco shells, lettuce, cheddar, salsa","Grill meat, then assemble with veggies and sauce."
Veggie Stir Fry 10,"broccoli, carrot, bell pepper, soy sauce, tofu",Stir fry all veggies and tofu in soy sauce.
Pancakes 10,"flour, milk, egg, sugar, baking powder",Mix batter and cook on a hot griddle.
Tomato Soup 10,"tomatoes, onion, garlic, vegetable broth, basil",Boil tomatoes and blend with other ingredients.
Grilled Cheese 10,"bread, cheddar, butter",Grill sandwich until cheese melts.
Caesar Salad 10,"romaine lettuce, parmesan, croutons, caesar dressing",Toss all salad components with dressing.
Fried Rice 10,"rice, egg, peas, carrot, soy sauce",Stir fry rice with vegetables and soy sauce.
Lentil Stew 10,"lentils, carrot, celery, onion, vegetable broth",Boil lentils with vegetables until tender.
